,R0,R1,R2,R3,R4,R5,R6
Connecticut,1.0,1.0,0.9935476317515324,0.954268070190368,0.9022837137759377,0.6708971039128593,0.4553873883256893
UCLA,1.0,0.999500036239624,0.9865174227386865,0.8994528156334619,0.6557111678819313,0.46838048916128416,0.22183274330023206
South Carolina,1.0,1.0,0.9412555087508911,0.8266437793164015,0.7281912070169171,0.2806037567963586,0.14443026880855947
Texas,1.0,1.0,0.9685887956773493,0.8164322182580072,0.6631396255969046,0.2992124960602573,0.11189647665393518
LSU,1.0,1.0,0.9582379011706337,0.7523604662278982,0.2818469813131398,0.15579143627641284,0.04919450245426629
Michigan,1.0,0.9979999999050051,0.8534066661659165,0.5496394021129245,0.16425733082996,0.03488377747037186,0.005595701683211599
Vanderbilt,1.0,0.9924924923107028,0.8333462992876352,0.48973885817128693,0.045215596639199405,0.011565635248321044,0.0020179967927874054
Duke,1.0,0.9929894842207432,0.8722050576255665,0.2284697246381747,0.03839645338419367,0.011907609284887745,0.00152664776560325
Louisville,1.0,0.9739217162132263,0.7655978297789517,0.3321897862132299,0.08054129962303631,0.012932823411770782,0.001370997894545337
Iowa,1.0,0.9919919921085238,0.8131518344967189,0.44489649779731083,0.08718929268960969,0.008976698707145778,0.0013307043570938227
TCU,1.0,0.9884769320487976,0.7460749704825721,0.39867070879813954,0.0756468827739938,0.007927003844991589,0.0012021168197500736
Oklahoma,1.0,0.9834503512829542,0.6327700031035024,0.10205182898608563,0.057347486819960686,0.005450987317502886,0.0008232280181416632
Ohio St,1.0,0.9959959960542619,0.763840898810588,0.3712183360535691,0.025482823825723082,0.005788961188104749,0.0008014098026394998
West Virginia,1.0,0.9617128446698189,0.6055925792144522,0.10986621117506813,0.04690162838767999,0.006130550630319069,0.0005664624909339359
Minnesota,1.0,0.9768728017807007,0.7398827549308693,0.08047689101854241,0.019936778724304126,0.004966486160464557,0.0005206474553833732
Kentucky,1.0,0.8437341451644897,0.3660715729389518,0.06338619763249581,0.027485662212462965,0.003961392595875762,0.0003980447780977759
North Carolina,1.0,0.9722922444343567,0.5821971024723718,0.024464097797140635,0.011142197332293454,0.0023038084611721656,0.00028266125335811815
Maryland,1.0,0.9536757469177246,0.4138487327399699,0.01936584843352676,0.00921462110284749,0.0019156657647568175,0.0002478257333267335
Michigan St,1.0,0.9287158772349358,0.3627222003144631,0.04891623112242878,0.023780814835220262,0.001982595732810324,0.000239384971667927
Washington,1.0,0.7543589621782303,0.22507927604555444,0.09916998298608821,0.014380237613214638,0.0008871685231719377,9.209126180664538e-05
USC,1.0,0.7335038185119629,0.05352694547337933,0.021342687737438117,0.009348875231467418,0.0006237995134312493,6.315563295259367e-05
Notre Dame,1.0,0.8288334161043167,0.225762394945721,0.08237342746953406,0.003846397783914271,0.0005706108426056124,5.057138339968444e-05
Mississippi,1.0,0.8631739467382431,0.24754063623341394,0.016401903737266566,0.00283564494384252,0.0005094433976480083,3.218484271568935e-05
Alabama,1.0,0.774094820022583,0.20735264155891753,0.058922175404141505,0.00718713778781169,0.0004614675396137337,2.256795662256768e-05
Illinois,1.0,0.6951596438884735,0.1335619842060803,0.04895654110511908,0.0021983938130995047,0.0003020602801100627,2.1143823680203935e-05
NC State,1.0,0.5061475038528442,0.07123035729178277,0.0280892690040498,0.003996191613996501,0.0003052177123676665,1.7281708238200843e-05
Tennessee,1.0,0.49385249614715576,0.07530216195787487,0.028909041492596838,0.004032994771585838,0.000289357438243981,1.6192542080397023e-05
Georgia,1.0,0.6756198406219482,0.13658463158784442,0.04228746564323306,0.0033428668839057527,0.00012919099731339542,7.189940960804801e-06
Oregon,1.0,0.6081569194793701,0.025122854305066333,0.008049737111960645,0.0020283570656071943,0.00012482841393517455,4.65251615093161e-06
Iowa St,1.0,0.6071794629096985,0.005467367687298719,0.0016758048813710485,0.0004569068299536062,4.857682022075536e-05,2.583070390711279e-06
Texas Tech,1.0,0.49612802267074585,0.022255743906388403,0.005956252776446188,0.0003387808571524152,3.812178659297117e-05,1.3823111720880056e-06
Villanova,1.0,0.5038719773292542,0.01950635492297792,0.004855327983090483,0.00025433809623695455,2.7321762946858165e-05,9.011046067981546e-07
Baylor,1.0,0.6224173307418823,0.07151379523905224,0.005898779406544969,0.00030120337268012005,3.00321227847562e-05,8.675701715917703e-07
Oklahoma St,1.0,0.6302003264427185,0.009752286476948984,0.002874329067072407,0.0002525539443015245,2.5556931761807305e-05,8.248838764241544e-07
Virginia Tech,1.0,0.3918430805206299,0.006288350017584321,0.0014694348549234202,0.0002518611569495283,1.0024331974850481e-05,2.43241013744688e-07
Colorado,1.0,0.3048403561115265,0.03276030011160993,0.00647537715871558,0.0001079236050441221,6.959022698152675e-06,2.0893369330841384e-07
Clemson,1.0,0.2664961814880371,0.005217545775729526,0.0010018979628031277,0.00021410865524052397,5.831172383882604e-06,2.061867694609421e-07
Arizona St,1.0,0.32438015937805176,0.04963809368310258,0.009123565398640334,0.00034168699639440135,6.3032585744671685e-06,1.280976191152903e-07
Richmond,1.0,0.3775826692581177,0.05546376384563895,0.0024541200258201053,8.493522017709207e-05,5.571370304040147e-06,1.1196878883265734e-07
Syracuse,1.0,0.3928205370903015,0.0009850005611689028,0.00022291195922410873,4.2692257903035046e-05,3.0563196125161207e-06,1.0172532557920986e-07
S Dakota St,1.0,0.24564103782176971,0.028090540720528655,0.00581173226574808,0.0002133390687276925,3.90550409799507e-06,9.75222227957241e-08
